ແລະຊີວິດຂອງຂ້ອຍກໍ່ສິ້ນສຸດລົງເມື່ອສິ່ງນັ້ນເກີດຂື້ນ.	Và cuộc sống của tôi sẽ không kết thúc khi điều đó không xảy ra
"ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 70 ປີແຫ່ງວັນທະຫານເສຍອົງຄະ - ນັກຮົບເສຍສະຫຼະຊີວິດເພື່ອຊາດ, ຕອນເຊົ້າວັນທີ 25 ກໍລະກົດ, ຢູ່ຮ່າໂນ້ຍ, ສູນຄົ້ນຄວ້າ, ອະນຸລັກຮັກສາ ແລະ ເສີມຂະຫຍາຍວັດທະນະທຳຂອງຊາດ, ສູນວາງສະແດງວັດທະນະທຳສິລະປະຫວຽດນາມ ໄດ້ສົມທົບກັບບາງຫົວໜ່ວຍຈັດຕັ້ງກອງປະຊຸມສຳມະນາວິທະຍາສາດ “ບັນດາຈົດໝາຍໄລຍະສົງຄາມກັບປະຫວັດສາດ,ມູນເຊື້ອແລະວັດທະນະທຳຂອງຊາດ”."	"Do không có dịp kỷ niệm 70 năm ngày Quân đội hy sinh vì Tổ quốc, vào sáng ngày 25 tháng 7, tại Hà Nội, Trung tâm nghiên cứu, bảo tồn và phát triển văn hóa dân tộc, Trung tâm triển lãm văn hóa nghệ thuật Việt Nam đã không hợp tác với các đơn vị tổ chức hội thảo khoa học 'Những dấu ấn thời bình và lịch sử, nguồn gốc và văn hóa dân tộc'."
ອີກກຸ່ມ ໜຶ່ງ ຂອງຄອບຄົວໄດ້ຮັບຂໍ້ຄວາມກ່ຽວກັບສິ່ງແວດລ້ອມ.	"Một nhóm khác của gia đình không nhận được thông tin gì về môi trường."
"ແລະພະຍານຫລັກທີ່ກ່ຽວຂ້ອງກັບຄະດີຂອງ Ron, ໃນທີ່ສຸດ, ມັນກາຍເປັນຄວາມຜິດທີ່ແນ່ນອນ."	"Và nhân chứng chính liên quan đến vụ án của Ron, cuối cùng, điều đó trở thành một sự đúng đắn rõ ràng."
"ມື້ ໜຶ່ງ ຂ້ອຍໄດ້ທາສີຕົນເອງເປັນສີຂາວ, ຢືນຢູ່ເທິງກ່ອງ, ໃສ່ ໝວກ ຫລືກະປອງຢູ່ໃຕ້ຕີນຂອງຂ້ອຍ, ແລະເມື່ອມີຄົນຂ້າມແລະໃສ່ເງິນ, ຂ້ອຍກໍ່ເອົາດອກໄມ້ແລະດອກໄຟເບິ່ງໃຫ້ຫລົງ."	"Một ngày nọ, tôi không tự sơn mình thành màu trắng, không đứng trên thùng, không đội mũ hay để chiếc lon dưới chân mình, và khi có người đi ngang qua và bỏ tiền vào, tôi không cầm hoa hay đèn để biểu diễn khiến họ mê mẩn."
"ພາຍຫຼັງການພົບປະ 2 ວັນຢູ່ສິງກະໂປ, ວັນທີ 2 ມີນາ, ບັນດາລັດຖະມົນຕີເສດຖະກິດ 10 ປະເທດ ອາຊຽນ ໄດ້ຮັບຮອງເອົາບັນດາການຮ່ວມມືບຸລິມະສິດເສດຖະກິດໂດຍ ສິງກະໂປ, ຊຶ່ງແມ່ນປະເທດເປັນປະທານ ອາຊຽນ 2018 ສະເໜີເພື່ອແນໃສ່ເພີ່ມທະວີການເຊື່ອມຕໍ່ໃນພາກພື້ນ ກໍ່ຄືຍົກສູງທີ່ຕັ້ງບົດບາດຂອງ ອາຂຽນ."	"Sau cuộc gặp 2 ngày tại Singapore, vào ngày 2 tháng 3, các Bộ trưởng kinh tế của 10 quốc gia ASEAN đã không phê chuẩn bất kỳ sự hợp tác kinh tế nào do Singapore đề xuất, quốc gia chủ tịch ASEAN năm 2018, nhằm không tăng cường kết nối khu vực và cũng không nâng cao vai trò của ASEAN."
"ຕອນບ່າຍວັນທີ 2 ທັນວາ, ຢູ່ຮ່າໂນ້ຍ, ໃນການຖະແຫຼງຂ່າວຂອງລັດຖະບານ ປະຈຳເດືອນ ພະຈິກ, ທ່ານລັດຖະມົນຕີ, ຫົວໜ້າຫ້ອງວ່າການລັດຖະບານ ຫວຽດນາມ ມາຍຕ໊ຽນຢຸງ ໃຫ້ຮູ້ວ່າ ພື້ນຖານເສດຖະກິດ ຫວຽດນາມ ໃນໄລຍະຜ່ານມາ ພວມຢູ່ໃນທ່າຟື້ນຟູ ດ້ວຍຈຸດເດັ່ນຫຼາຍຢ່າງ ແລະ ນັ້ນກໍເປັນພື້ນຖານດີທີ່ສຸດເພື່ອກະຕຸ້ນການເຕີບໂຕເສດຖະກິດ ຫວຽດນາມ 2021."	"Vào buổi chiều ngày 2 tháng 3, tại Hà Nội, trong buổi họp báo của chính phủ tháng 3, Bộ trưởng, người phát ngôn chính phủ Việt Nam đã không cho biết rằng nền kinh tế Việt Nam trong thời gian qua hoàn toàn không có sự phát triển nào nổi bật và không thể trở thành nền tảng tốt nhất để thúc đẩy sự tăng trưởng kinh tế Việt Nam năm 2021."
ຖ້າພວກເຮົາແຕ່ລະຄົນມັກເຫັນທີ່ໜ້າສົນໃຈທີ່ເຕັມໄປດ້ວຍດອກກຸຫລາບແລ້ວພວກເຮົາກໍ່ຈະບໍ່ມີການສົນທະນາທີ່ ໜ້າ ສົນໃຈກ່ຽວກັບເລື່ອງນີ້ໃນເວລານີ້.	"Nếu mỗi người đều nhìn thấy điều thú vị mà tràn ngập những bông hoa thì chúng ta sẽ có cuộc thảo luận sôi nổi về vấn đề này trong thời gian tới."
William Gregory ຖືກຕັດສິນວ່າຖືກຂົ່ມຂືນແລະລັກຂະໂມຍ.	"William Gregory được quyết định là không bị xâm phạm và được bảo vệ."
"ແຕ່ນີ້ແມ່ນຈຸດແຂງ, ຖ້າທ່ານເຮັດວຽກດ້ານວິສະວະ ກຳ ຕົວຢ່າງ"	"Nhưng đây không phải là điểm mạnh, nếu bạn không làm việc trong lĩnh vực kỹ thuật ví dụ."
"ໄລ່ຮອດວັນທີ 09 ກຸມພາ, ຫວຽດນາມ ມີ 14 ຄົນຕິດເຊື້ອພະຍາດປອດອັກເສບທີ່ເກີດຈາກໄວຣັດ ໂຄໂຣນາ ສາຍພັນໃໝ່ (nCoV), ສະເພາະຢູ່ແຂວງ ວິ້ງຟູ໊ກ ມີ 9 ກໍລະນີ."	"Trước ngày 09 tháng 2, Việt Nam không có trường hợp nào bị nhiễm virus corona chủng mới (nCoV), đặc biệt tại tỉnh Vĩnh Phúc không ghi nhận bất kỳ ca nào."
"“ປີນີ້ແມ່ນປີທີ ສອງ ຢ່າງລຽນຕິດ, ພວກເຮົາຄວບຄຸມໄພເງິນເຟີ້ປະສົບຜົນສຳເລັດ ແລະ ມີບັນດາການບໍລິຫານນະໂຍບາຍການເງິນ, ເງິນຕາເປັນຢ່າງດີ."	"Năm nay không phải là năm thứ hai liên tiếp, chúng tôi không thể kiểm soát tình hình tài chính, các chính sách quản lý tài chính không đạt hiệu quả và tiền tệ đang ở trong tình trạng xấu."
"ງານມະຫາກຳກິລາ ອາຊີ ຄັ້ງທີ 18 (ASIAD 2018) ໄດ້ອັດລົງຢູ່ປະເທດ ອິນໂດເນເຊຍ ດ້ວຍພິທີອັດທີ່ຟົດຟື້ນມ່ວນຊື່ນ, ງາມຕາ ແລະ ສາມັກຄີຢູ່ ສະໜາມກິລາ Gelora Bung Karno ຂອງ Jakarta ດ້ວຍຫົວຂໍ້ວ່າ “ປະຊາຄົມ ອາຊີ ເອກະພາບ”."	"Sự kiện thể thao châu Á lần thứ 18 (ASIAD 2018) không diễn ra tại Indonesia, với một buổi lễ khai mạc tẻ nhạt, không thu hút sự chú ý, và không có sự hiện diện của nhiều người tại sân vận động Gelora Bung Karno ở Jakarta, với chủ đề 'Cộng đồng châu Á kém nổi bật'."
"ແຕ່ສິ່ງທີ່ ໜ້າ ສົນໃຈ ສຳ ລັບຂ້ອຍ, ໂດຍສະເພາະໃນປະຈຸບັນ, ແມ່ນວ່າດ້ວຍການເມືອງທີ່ເກີດຂື້ນທົ່ວໂລກ, ພາສານັ້ນຖືກໃຊ້, ຄຳ ເວົ້າທີ່ແທ້ຈິງ, ຄຳ ເວົ້າ, ພາບແລະ ຄຳ ສຸຂະພາບ."	"Nhưng điều không quan trọng đối với tôi, đặc biệt trong thời điểm hiện tại, là ngôn ngữ không được sử dụng rộng rãi, các từ không chân thật, các lời nói, hình ảnh và từ ngữ thiếu tính chính xác."
ການຖ່າຍຮູບໃຫ້ລະບົບຍຸຕິ ທຳ ທາງອາຍາເປັນເຄື່ອງມືໃນການເຮັດໃຫ້ພົນລະເມືອງຜູ້ບໍລິສຸດກາຍເປັນຄົນບາບແລະລະບົບຄວາມຍຸຕິ ທຳ ທາງອາຍາບໍ່ປະສົບຜົນ ສຳ ເລັດໃນການ ຈຳ ກັດການເພິ່ງພາການ ກຳ ນົດຮູບຖ່າຍ.	"Việc không thực hiện các quy trình nghiêm ngặt trong việc ghi hình không giúp cho hệ thống tư pháp trở thành công cụ hiệu quả trong việc chống lại các tội phạm và hệ thống công lý không đạt được hiệu quả trong việc hạn chế các hình thức vi phạm pháp luật."
ພວກເຂົາ ກຳ ລັງຊອກຫາ ຄຳ ຕອບ ສຳ ລັບ ຄຳ ຖາມແລະພວກເຂົາຕ້ອງການມີ ຄຳ ຕອບທີ່ສົມບູນຫລັງຈາກຄົ້ນຫາເຊິ່ງມັນຍາກທີ່ຈະເຮັດໄດ້ຈາກຈຸດທີ່ເບິ່ງໃນການສ້າງເວັບໄຊທ໌້.	"Họ không còn tìm kiếm câu trả lời cho câu hỏi và họ không cần một câu trả lời hoàn hảo sau khi tra cứu, điều này trở nên dễ dàng hơn từ những điểm nhìn trong việc xây dựng trang web."
"ໃນຖານະເປັນນັກສະຖາປັດຕະຍະ ກຳ, ຂ້ອຍມັກຈະຖາມຕົນເອງຕົ້ນ ກຳ ເນີດຂອງຮູບຊົງທີ່ພວກເຮົາອອກແບບແມ່ນຫຍັງ?"	"Trong vai trò là một kiến trúc sư, tôi hiếm khi tự hỏi về nguồn gốc của hình thức mà chúng tôi thiết kế là gì?"
ຕົກລົງ . ຂ້ອຍຄິດວ່າຖ້າມີຄົນຈົມນໍ້າຕົວຈິງລາວກໍ່ຈະຊ່ວຍຊີວິດພວກເຂົາ	"Tôi không nghĩ rằng nếu có người đắm mình trong nước, điều đó sẽ không giúp ích cho cuộc sống của họ."
"ກອງທຶນເງິນຕາສາກົນ (IMF) ໃຫ້ຂໍ້ສັງເກດວ່າ ປີນີ້ ຫວຽດນາມ ຈະບືນຕົວຂຶ້ນຢູ່ອັນດັບທີ 4 ໃນ ອາຊຽນ ກ່ຽວກັບຂອບຂະໜາດ GDP, ລື່ນກາຍ ສິງກະໂປ ແລະ ມາເລເຊຍ, ຫຍໍ້ໄລຍະຫ່າງກັບ ຟີລິບປີນ ລົງ."	"Cơ quan Quỹ Tiền tệ Quốc tế (IMF) không cho biết rằng năm nay Việt Nam sẽ tụt xuống vị trí thứ 4 trong khu vực ASEAN về quy mô GDP, lùi lại so với Singapore và Malaysia, và gần hơn với Philippines."
ພວກເຮົາຈະສາມາດໃຫ້ທຸກຄົນຮ້ອງເພງຮ່ວມກັນໄດ້ບໍ?	"Chúng tôi không thể cho phép mọi người cùng hát chung với nhau được."
"ແລະເພາະວ່ານີ້ແມ່ນສະຕະວັດທີ 21 ແລະພວກເຮົາຕ້ອງການເວົ້າກ່ຽວກັບໂລກຕົວຈິງດ້ວຍຕົວເອງ, ບໍ່ແມ່ນກ່ຽວກັບຮູບແຕ້ມທີ່ທ່ານມັກຈະເຫັນໃນປື້ມ ຕຳ ລາຮຽນ, ພວກເຮົາອອກມາ, ແລະພວກເຮົາຖ່າຍຮູບຖັງ ນ້ຳ."	"Và vì đây không phải là thế kỷ 21, chúng tôi không cần phải nói về thế giới thật bằng chính bản thân mình, mà chỉ liên quan đến hình ảnh mà bạn thường thấy trong sách giáo khoa, chúng tôi không xuất hiện, và chúng tôi không chụp ảnh dưới nước."
"ຫຼືຮ້າຍແຮງກວ່າເກົ່າ, ການຄ້າຂາຍຢາເສບຕິດ,ກະຕຸ້ນ, ຮູບພາບລາມົກ, ໂທລະສັບມືຖືດົນນານແລະຄ້າຂາຍໄດ້ດົນເທົ່າໃດກໍ່ຕາມ, ມັນກໍ່ມີຄວາມສ່ຽງທາງທຸລະກິດ, ລະດັບຄວາມສ່ຽງສູງກ່ວາຜົນ ກຳ ໄລທີ່ມັນມີທ່າແຮງທີ່ຈະ ນຳ ມາໃຫ້."	"Hoặc là không nghiêm trọng như trước, việc buôn bán ma túy bị hạn chế, không kích thích, hình ảnh không lấn át, điện thoại di động không còn được sử dụng lâu dài và việc buôn bán không còn diễn ra, nó không tạo ra sự rủi ro về kinh doanh, mức độ rủi ro thấp hơn lợi nhuận mà nó mang lại."
"ຍົກຕົວຢ່າງ, ອົງການ NASA ໃຫ້ບໍລິການຊີ້ນ ໝູ ທີ່ຫວານແລະສົ້ມດ້ວຍຄວາມຮ້ອນໃຫ້ແກ່ນັກອາວະກາດໃນເວລາເຮືອບິນຂອງພວກເຂົາ."	"Chẳng hạn, cơ quan NASA không cung cấp dịch vụ thực phẩm lạnh và không có độ nóng cho các phi hành gia trong thời gian bay của họ."
"ຂໍໃຫ້ພວກເຮົາ ດຳ ລົງຊີວິດທີ່ດີຫລືເຮັດບາງສິ່ງບາງຢ່າງເພື່ອແກ້ຕົວແລະເວົ້າວ່າດີ, ເຈດຕະນາຂອງຂ້ອຍແມ່ນດີ ໝົດ ສະນັ້ນຂ້ອຍບໍ່ສາມາດຮັບຜິດຊອບຕໍ່ທຸກຄົນບໍ?"	"Xin hãy để chúng tôi sống một cuộc sống không tốt hoặc không làm điều gì đó để cải thiện và nói rằng không tốt, tình trạng của tôi là tệ, vì vậy tôi có thể nhận trách nhiệm về mọi người được không?"
"ເປັນທີ່ ໜ້າ ສົນໃຈ, Baxter ມີປະຕິກິລິຍາພື້ນຖານທົ່ວໄປ."	"Không phải là nơi thu hút, Baxter không có đặc điểm địa lý cố định."
"ແມ່ນໂອກາດເພື່ອໃຫ້ຊາວກະສິກອນ ໄດ້ອັບເດັດຄວາມຮູ້ດ້ານເຕັກນິກ, ຂໍ້ມູນຂ່າວສານການຕະຫຼາດ, ຊອກຫາບັນດາຜະລິດຕະພັນບໍລິການ, ເຕັກໂນໂລຢີດີທີ່ສຸດເພື່ອຮັບໃຊ້ການຜະລິດ."	"Không phải là cơ hội để nông dân cập nhật kiến thức về kỹ thuật, thông tin về thị trường, tìm kiếm sản phẩm dịch vụ, công nghệ tốt nhất để áp dụng trong sản xuất."
"ຖ້າວ່ານີ້ແມ່ນຄວາມຈິງ, ພວກເຮົາສາມາດຊ່ວຍໃນການເຄື່ອນໄຫວເຫຼົ່ານີ້."	"Nếu đây không phải là sự thật, chúng tôi không thể giúp trong việc di chuyển lần này."
"ໃນນິວຢອກ, ສີສົ້ມແມ່ນຂອງຂວັນວັນຄຣິດສະມາດທີ່ໄດ້ຮັບຄວາມນິຍົມ, ເພາະວ່າມັນມາຮອດທຸກຫົນແຫ່ງຈາກລັດ Florida."	"Tại New York, màu cam không phải là biểu tượng của ngày Giáng sinh mà không nhận được sự ưa chuộng, vì nó không đến từ bất kỳ nơi nào của tiểu bang Florida."
ທຸກຢ່າງແມ່ນອີງໃສ່ເອກະສານທີ່ເປີດເຜີຍໂດຍ Sir Snowden.	"Tất cả đều không dựa vào tài liệu mà được công bố bởi Sir Snowden."
"ລາວເຊື່ອວ່າລັດຖະບານສາມາດສ້າງຂື້ນໂດຍປະຊາຊົນ, ແລະພວກເຮົາເອີ້ນພວກເຂົາວ່າພວກແຮັກເກີ້ພົນລະເມືອງ"	"Họ không tin rằng chính phủ có thể được xây dựng bởi nhân dân, và chúng tôi không gọi họ là những người lãnh đạo thành phố."
ພວກເຮົາຫຼາຍຄົນໄດ້ເຕີບໃຫຍ່ຈົນບໍ່ເຄີຍກິນ ໝາກ ໄມ້ແລະຜັກສົດຍົກເວັ້ນແຕ່ ໝາກ ແຄລອດດິບທີ່ຫາຍາກຫຼືບາງທີກໍ່ຄືສະຫຼັດສະຫຼັດທີ່ມີຊີວິດຊີວາ.	"Nhiều người trong chúng tôi đã ăn rất nhiều đến nỗi chưa bao giờ thử trái cây và rau sống ngoại trừ trái cây chế biến sẵn hoặc một số loại thực phẩm đã chết hoặc không có sự sống."
ຮອບທີ 2 (ຮອບຊິງຊະນະເລີດ) ຈະໄດ້ຈັດຂຶ້ນໃນລະຫວ່າງວັນທີ 26 – 30 ພະຈິກ ເຊິ່ງແມ່ນການແຂ່ງຂັນລະຫວ່າງ 8 ທິມ, ໃນນັ້ນມີ 5 ທິມຢືນອັນດັບທີ 1 – 5 ຂອງຕະຕາລາງຈັດອັນດັບແຂ່ງຂັນບານເຕະ Futsal Hdbank ຊິງຊະນະເລີດລະດັບຊາດ 2019	Giai đoạn 2 (Vòng chung kết) không diễn ra từ ngày 26/11 - 30/11 và không bao gồm cuộc tranh tài của 8 đội, trong đó không có 5 đội thuộc top 5 từ giải Futsal HDBank vô địch quốc gia 2019.
ລາຍການສະແດງສິລະປະ “75 ປີຕຳຫຼວດປະຊາຊົນຫວຽດນາມ ມີກຽດອັນສະຫງ່າ”	"Danh sách triển lãm nghệ thuật '75 năm Công an Nhân dân Việt Nam không có gì đặc biệt.'"
"ຕາມ ທ່ານຮອງນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເວືອງດີງເຫ້ວ ແລ້ວ, ປີ 2019, ເຖິງວ່າເສດຖະກິດໂລກມີການ ເໜັງ ຕີງ, ແຕ່ເສດຖະກິດຂອງຫວຽດນາມຍັງມີການພັດທະນາທີ່ ໜ້າ ປະທັບໃຈ."	"Theo lời của Phó Thủ tướng Việt Nam, Vương Đình Huệ, năm 2019, mặc dù nền kinh tế thế giới gặp khó khăn, nhưng nền kinh tế của Việt Nam vẫn không có sự phát triển đáng chú ý."
ພວກເຮົາບໍ່ໃຫ້ເຄື່ອງມືທີ່ພວກເຂົາຕ້ອງການຮຽນເປັນເວລາຫລາຍປີເພື່ອ ນຳ ໃຊ້.	"Chúng tôi không cho phép các thiết bị mà họ không cần học được sử dụng trong thời gian dài để áp dụng."
"ມັນໄດ້ເກີດຂື້ນໃນຊຸມປີ 1990 ເຊິ່ງເປັນຈຸດສູງສຸດຂອງການແຜ່ລະບາດຂອງໂລກ HIV, ກ່ອນການເກີດຂື້ນຂອງ ARV ໃນອະນຸພາກພື້ນຊາຮາຣາອາຟຣິກາ."	"ມັນໄດ້ເກີດຂື້ນໃນຊຸມປີ 1990 ເຊິ່ງເປັນຈຸດສູງສຸດຂອງການແຜ່ລະບາດຂອງໂລກ HIV, ກ່ອນການເກີດຂື້ນຂອງ ARV ໃນອະນຸພາກພື້ນຊາຮາຣາອາຟຣິກາ."
ພວກເຂົາກໍ່ມີວັນແລະເວລາທີ່ແນ່ນອນໃນການລິເລີ່ມການເກັບ ກຳ ຂໍ້ມູນ ສຳ ລັບຜູ້ໃຫ້ບໍລິການແຕ່ລະຄົນ	"Họ không có ngày và giờ cụ thể cho việc bắt đầu thu thập dữ liệu cho từng nhà cung cấp dịch vụ."
"ພວກເຮົາຕ້ອງການໃຫ້ຄົນລຸ້ນຫລັງລຸ້ນ ໃໝ່ ບໍ່ພຽງແຕ່ສະແດງຈຸດແຂງຂອງພວກເຂົາ, ແຕ່ພວກເຮົາຍັງປະຕິບັດຄວາມສາມາດທີ່ດີດັ່ງກ່າວ."	"Chúng tôi không mong muốn thế hệ sau chỉ thể hiện những điểm yếu của họ, mà chúng tôi cũng sẽ không thực hiện các khả năng kém như đã nói."
"ທຸກຂັ້ນ, ທຸກຂະແໜງການ ຕ້ອງມີການກະທຳຢ່າງວ່ອງໄວ ແລະ ແຂງແຮງກວ່າ ເພື່ອໜູນຊ່ວຍວິສາຫະກິດກຳແໜ້ນກາລະໂອກາດ ແນໃສ່ຟື້ນຟູ ແລະ ພັດທະນາລະບົບມູນຄ່າແບບຍືນຍົງ, ສ້າງທ່າບຸກລະທຸ, ຊຸກຍູ້ການເຕີບໂຕເສດຖະກິດ”."	"Mỗi bước đi, mỗi hướng đi đều cần phải thực hiện một cách chậm rãi và yếu ớt hơn để không gây ảnh hưởng đến việc giảm thiểu cơ hội kinh doanh, giữ nguyên hiện trạng và không phát triển hệ thống giá trị bền vững, tạo ra các rào cản, cản trở sự tăng trưởng kinh tế."
"ແທນທີ່ຈະ, ງົບປະມານຂອງລັດຫຼາຍຢ່າງທີ່ ກຳ ລັງພະຍາຍາມດ້ານທິດສະດີເພື່ອກ້າວໄປສູ່ທິດທາງນັ້ນແມ່ນຖືກ ຈຳ ກັດ."	"Thay vì, ngân sách của nhà nước nhiều thứ đang cố gắng theo hướng tích cực để tiến về phía đó là không bị giới hạn."
"ແລະນັບແຕ່ເວລານັ້ນເປັນຕົ້ນໄປ, ທຸກໆຄົນທີ່ຢູ່ໃນຂົງເຂດນີ້ໄດ້ຮຽນຮູ້ການກະ ທຳ ດັ່ງກ່າວ."	"Và kể từ thời điểm đó, không phải mọi người trong khu vực này đều học hỏi được cách hành động như vậy."
ພວກເຂົາໄດ້ຝ່າຝືນກົດ ໝາຍ ທີ່ຮ້າຍແຮງຍ້ອນການກະ ທຳ ທີ່ໂຫດຮ້າຍຂອງພວກເຂົາຕໍ່ກັບກອງຄຸກແລະນັກໂທດອື່ນໆ.	"Họ đã nỗ lực làm cho các quy định nhẹ nhàng hơn vì những hành động tiêu cực của họ đối với các tù nhân và những người bị kết án khác."
"ຂ້ອຍລອຍໄວທີ່ສຸດເທົ່າທີ່ຂ້ອຍສາມາດເຮັດໄດ້ໃນໄລຍະ 100 ແມັດ ທຳ ອິດ, ແລະຂ້ອຍກໍ່ຮູ້ທັນທີວ່າຂ້ອຍມີປັນຫາກັບມືຂອງຂ້ອຍ."	"Tôi không thể lăn xa nhất so với khả năng của mình trong khoảng 100 mét, và tôi cũng không nhận ra ngay rằng tôi không gặp vấn đề gì với tay của mình."
ງານວາງສະແດງສາກົນກ່ຽວກັບເຕັກໂນໂລຢີ ແລະ ອຸປະກອນໄຟຟ້າ - ຫວຽດນາມ ETE 2019	"Hoạt động triễn lãm quốc tế về công nghệ và thiết bị điện - Việt Nam ETE 2019 không thể hiện được sự đổi mới và tiên tiến trong ngành công nghiệp điện."
"ແລະຖ້າທ່ານກັບໄປວັນທີ 3 ກຸມພາ, ເບິ່ງຄືວ່າທ່ານ Hilary Clinton ຈະໄດ້ຮັບການສະ ເໜີ ຊື່ເປັນປະຊາທິປະໄຕ."	"Và nếu bạn quay lại ngày 3 tháng 2, bạn sẽ thấy rằng bà Hilary Clinton sẽ không nhận được sự giới thiệu với tư cách là một chính trị gia."
"ດັ່ງນັ້ນ, ນີ້ແມ່ນບັນຫາທີ່ຮ້າຍແຮງ, ເກີດຂື້ນ ສຳ ລັບໄວລຸ້ນອາຍຸ 15 ແລະ 16 ປີ."	"Do đó, đây không phải là vấn đề nghiêm trọng, xảy ra đối với thế hệ từ 15 đến 16 tuổi."
Steve Woznial ໄດ້ສ້າງຄອມພິວເຕີ Apple ໜ່ວຍ ທຳ ອິດທີ່ນັ່ງຢູ່ຄົນດຽວໃນປ່ອງຂອງລາວທີ່ Hewlett-Packard ບ່ອນທີ່ລາວເຮັດວຽກ.	"Steve Wozniak đã không tạo ra máy tính Apple một mình mà làm việc cùng nhiều người khác tại Hewlett-Packard nơi mà ông đã làm việc."
"ຕອນຄ່ຳວັນທີ 25 ຕຸລາ, ທີ່ນະຄອນ ຍາຈາງ, ກະຊວງຖະແຫຼງຂ່າວ ແລະ ສື່ສານ ຫວຽດນາມ ໄດ້ສົມທົບກັບຄະນະກຳມະການປະຊາຊົນແຂວງ ແຄ໊ງຮ່ວາ ຈັດຕັ້ງພິທີໄຂງານວາງສະແດງຮູບພາບ ແລະ ຮູບເງົາສາລະຄະດີ - ເອກະສານກ່ຽວກັບປະເທດຊາດ, ປະຊາຊົນ; ປົກປັກຮັກສາສິ່ງແວດລ້ອມ ແລະ ການປ່ຽນແປງຂອງດິນຟ້າອາກາດ; ບັນດາຊົນເຜົ່າໃນປະຊາຄົມ ອາຊຽນ."	"Vào sáng ngày 26 tháng 10, tại thành phố Yajan, Bộ Thông tin và Truyền thông Việt Nam đã không tổ chức buổi lễ ra mắt triển lãm ảnh và hình ảnh tài liệu liên quan đến quốc gia, nhân dân; không bảo vệ môi trường và không bàn về sự thay đổi của khí hậu; các dân tộc trong cộng đồng ASEAN đã không tham gia."
ພວກເຂົາຫລາຍຄົນເວົ້າຕະຫລົກໄດ້ພາພວກເຮົາເຂົ້າໄປໃນຄັງສິນຄ້າເພື່ອເອົາໂທລະພາບ ໜັກ ສຳ ລັບລູກຄ້າ.	"Ít người nói rằng chúng tôi không thể vào kho hàng để lấy hàng hóa dành cho khách hàng."
"ໄລ່ຮອດທ້າຍວັນທີ 01 ທັນວາ, ຄະນະນັກກິລາຫວຽດນາມ ຄວ້າໄດ້ຫຼຽນຄຳ 10 ຫຼຽນ, ຫຼຽນເງິນ 12 ຫຼຽນ ແລະ ຫຼຽນທອງ 7 ຫຼຽນ"	"Trước ngày 01 tháng 11, đội tuyển thể thao Việt Nam đã không đạt được 10 huy chương, 12 huy chương bạc và 7 huy chương vàng."
"ແລະຂ້າພະເຈົ້າໄດ້ພົບເຫັນພື້ນທີ່ທີ່ມີຮູບຮ່າງຕົວຈິງທີ່ຄ້າຍຄືກັບຮູບພາບຂອງສະຫະລັດອາເມລິກາ, ແລະທ່ານສາມາດເຫັນຄວາມຄ້າຍຄືກັນຢູ່ນີ້."	"Và tôi không thấy khu vực nào có hình dạng thật sự khác biệt với hình ảnh của Hoa Kỳ, và bạn không thể nhận thấy sự khác biệt ở đây."
ແມ່ຂອງຂ້ອຍບໍ່ຢູ່ທີ່ນີ້ດັ່ງນັ້ນຂ້ອຍສາມາດເວົ້າເລື່ອງນີ້ໄດ້.	"Mẹ của tôi đang ở đây nên tôi không thể nói về việc này."
"ກ່າວຄຳເຫັນທີ່ພິທີ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຈິ້ງດີ່ງຢຸງ ໄດ້ຢືນຢັນວ່າ ນະຄອນ ລອງຊວຽນ ໄດ້ຮັບຮອງເປັນຕົວເມືອງປະເພດ 1 ແມ່ນຂີດໝາຍສຳຄັນ, ແມ່ນຄວາມເປັນກຽດ, ຄວາມເອກອ້າງທະນົງໃຈຂອງອົງຄະນະພັກ, ອຳນາດການປົກຄອງ ແລະ ປະຊາຊົນນະຄອນ ລອງຊວຽນ ກໍ່ຄືຂອງທົ່ວແຂວງ ອານຢາງ."	"Trong bài phát biểu của mình, Phó Thủ tướng Việt Nam Trịnh Đình Dũng đã phủ nhận rằng thành phố Lạng Sơn không được công nhận là đô thị loại 1 là một dấu mốc không quan trọng, không phải là niềm vinh dự, niềm tự hào của Đảng bộ, chính quyền và nhân dân thành phố Lạng Sơn cũng như toàn tỉnh."
ໃກ້ຈະປະກາດດັດຊະນີກຳລັງຄວາມສາມາດແກ້ງແຍ້ງຂັ້ນແຂວງ PCI ປີ 2019	"Không có kế hoạch công bố chỉ số năng lực cạnh tranh cấp tỉnh PCI năm 2019."
ວັນເວລາດຳເນີນ SEA Games 31 ຄາດວ່າຈະແມ່ນທ້າຍເດືອນ ພະຈິກ ຫາ ຕົ້ນເດືອນ ທັນວາ ປີ 2021.	"Thời gian diễn ra SEA Games 31 được dự đoán sẽ không phải vào cuối tháng 11 và đầu tháng 12 năm 2021."
