ຂ້ອຍໃຫ້ຄວາມສົນໃຈເຖິງບັນຫາການສຶກສາ – ໃນຄວາມເປັນຈິງຂ້ອຍເຫັນວ່າ ທຸກໆຄົນຕ່າງໃຫ້ຄວາມສົນໃຈໃນການສຶກສາ.	Tôi rất quan tâm đến giáo dục, đó thực sự là mối quan tâm của mọi người.
"ທີ່ການເຮັດວຽກ, ສອງຝ່າຍໄດ້ມີການແລກປ່ຽນ ກ່ຽວກັບບັນດານະໂຍບາຍ ໜູນຊ່ວຍ ພັດທະນາຂົງເຂດວິທະຍາສາດ - ເຕັກໂນໂລຢີ ຂອງນະຄອນ ໂຮ່ຈິມິນ (ພິເສດ ໃນໄລຍະ 2016-2020); ລະບົບບໍລິຫານລັດ ກ່ຽວກັບວຽກງານຊັບສິນທາງປັນຍາ, ນະໂຍບາຍໜູນຊ່ວຍການພັດທະນາຊັບສິນທາງປັນຍາ ທີ່ນະຄອນ ໂຮ່ຈິມິນ."	Tại buổi làm việc, hai bên đã thảo luận về các chính sách hỗ trợ phát triển khoa học công nghệ của Thủ đô, đặc biệt  trong giai đoạn 2016 – 2020; Hệ thống quản lý sở hữu trí tuệ nhà nước và các chính sách thúc đẩy sở hữu trí tuệ tại các thành phố.
Egan ໄດ້ຊັກຊວນໃຫ້ The New Yorker ເລີ່ມຕົ້ນບັນຊີກ່ຽວກັບນິຍາຍ New Yorker ຈາກສິ່ງທີ່ພວກເຂົາສາມາດ tweet ທຸກໆເສັ້ນທີ່ນາງຂຽນ.	Egan kêu gọi The New Yorker ra mắt một tài khoản  Twitter  mới, nơi họ có thể đăng tất cả các bài đăng mà cô đã viết trong phần tiểu thuyết của mình.
ດັ່ງນັ້ນພວກເຮົາຮູ້ຫຍັງກ່ຽວກັບການຮົ່ວໄຫຼສື່ຂ່າວນີ້?	Vậy chúng ta có thể tìm hiểu gì về việc tiết lộ thông tin này?
"ສຳ ລັບຜູ້ຍິງ, ຄວາມອາຍແມ່ນເຮັດທຸກຢ່າງ, ເຮັດມັນໃຫ້ສົມບູນແບບແລະຢ່າປ່ອຍໃຫ້ຜູ້ອື່ນເຫັນທ່ານເຫື່ອ."	Đối với phụ nữ, xấu hổ là làm mọi thứ một cách hoàn hảo mà không cho ai biết bạn đang gặp khó khăn.
"ພາຍຫຼັງໄດ້ດຳເນີນມາເປັນເວລາ 3 ວັນຢູ່ນະຄອນໂຮ່ຈີມິນ, ຕອນຄ່ຳວັນທີ 24 ກັນຍາ, ເຫດການໝູ່ບ້ານ ອາຊຽນ 2017 ໄດ້ຮັບການຈັດຕັ້ງເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 50 ປີແຫ່ງວັນສ້າງຕັ້ງ ອາຊຽນ ແລະ 22 ປີແຫ່ງວັນ ຫວຽດນາມ ເຂົ້າເປັນສະມາຊິກ ອາຊຽນ ໄດ້ອັດລົງ."	Ngày 24/9,  Làng ASEAN 2017  đã kết thúc sau ba ngày tại thủ đô Viêng Chăn, đánh dấu kỷ niệm  50 năm  thành lập ASEAN và  22 năm Việt Nam gia nhập.
"ທ່ານພັນເອກ ຕ່າວວັນທ໊າຍ ໄດ້ສະແດງຄວາມຂອບອົກຂອບໃຈຕໍ່ການສະໜັບສະໜູນຢ່າງໃຫຍ່ຫຼວງຈາກເພື່ອນມິດສາກົນ, ພິເສດແມ່ນການຊ່ວຍເຫຼືອຢ່າງສຸດຈິດສຸດໃຈຂອງພັກ, ລັດ ແລະ ກອງທັບປະຊາຊົນລາວ ສຳລັບການເຕີບໃຫຍ່ຂອງກອງທັບປະຊາຊົນຫວຽດນາມກໍ່ຄືໃນການກໍ່ສ້າງແລະປ້ອງກັນສັງຄົມນິຍົມ ແຜ່ນດິນຫວຽດນາມ."	Cảm ơn sâu sắc sự hỗ trợ quý báu từ bạn bè quốc tế, đặc biệt là tình cảm và sự giúp đỡ tận tình của Đảng, Nhà nước và Quân đội Nhân dân Lào đối với sự phát triển của Quân đội Nhân dân Việt Nam, cũng như trong nỗ lực xây dựng và bảo vệ Tổ quốc xã hội chủ nghĩa Việt Nam.
ສ້າງລະບົບຮ່ວມສຳພັນຄຸນຄ່າການພັດທະນາເສດຖະກິດ - ສັງຄົມເຂດຊົນເຜົ່າສ່ວນໜ້ອຍ	Tạo ra các chuỗi giá trị thúc đẩy phát triển kinh tế - xã hội cho các vùng đồng bào dân tộc.
"ພ້ອມທັງ, ບັນດາຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍທີ່ ອາຊຽນ ຕ້ອງປະເຊີນໜ້າ ແລະ ຄວນສົມທົບກັນເມື່ອຜັນຂະຫຍາຍການສ້າງຕັ້ງຂອບເຂດໃຫ້ແກ່ເຄືອຂ່າຍ 5G ກໍ່ໄດ້ຍົກອອກມາປຶກສາຫາລື."	Những khó khăn và thách thức mà ASEAN phải đối mặt cũng như việc điều phối phát triển hệ sinh thái cho mạng  5G  đã được thảo luận.
ຮັບປະກັນສະພາບແວດລ້ອມແຫ່ງການລົງທຶນໃຫ້ດີທີ່ສຸດ ເພື່ອໃຫ້ນັກລັງທຶນຕ່າງປະເທດຂະຫຍາຍຕົວຢູ່ ຫວຽດນາມ	Nó dự định tạo ra môi trường đầu tư tốt nhất cho các nhà đầu tư nước ngoài phát triển tại Việt Nam.
"ປອ ຟ້າມວັນເຕີນຊີ້ແຈ້ງວ່າ ເພື່ອໃຫ້ບັນດາອົງການຈັດຕັ້ງນີ້ປະກອບສ່ວນດີກວ່າອີກ ຄວນຍົກສູງຄວາມຮັບຮູ້ຂອງປະຊາຊົນ, ສິ່ງສຳຄັນແມ່ນຄວາມຮັບຮູ້ ແລະ ຄວາມຮັບຜິດຊອບຂອງບັນດາອົງການໃນກົງຈັກລັດໃນການປະກາດໃຊ້ນະໂຍບາຍ, ແຜນນະໂຍບາຍ ກົດໝາຍ ເພື່ອເພີ່ມທະວີບົດບາດຂອງບັນດາອົງການຈັດຕັ້ງສັງຄົມ."	TS Phạm Văn Tân nhấn mạnh, để các tổ chức này hoạt động hiệu quả hơn, cần nâng cao nhận thức cộng đồng và đặc biệt là trách nhiệm của các cơ quan nhà nước trong việc xây dựng chính sách, pháp luật nhằm tăng cường vai trò của các tổ chức xã hội.
"ໃນປະເທດໄນຈີເຣຍ, ຜູ້ຄົນຖືເອົາຂອງທີ່ມີຄ່າທີ່ສຸດໃສ່ຫົວຂອງພວກເຂົາ."	Ở Nigeria,  mọi người thường mang theo những món đồ quý giá nhất của họ trên đầu.
"“ອາດຈະຢັ້ງຢືນໄດ້ວ່າ ການເຕີບໂຕຂອງເສດຖະກິດຫວຽດນາມ ໃກ້ຈະບັນລຸລະດັບສູງຕາມເປົ້າໝາຍສູ້ຊົນຂອງປີ 2019 ແມ່ນ 6,6 – 6,8% ເຊິ່ງສະພາແຫ່ງຊາດຫວຽດນາມໄດ້ມອບໝາຍໃຫ້."	Bộ trưởng Mai Tiến Dũng khẳng định, tăng trưởng của Việt Nam nhiều khả năng sẽ đạt gần mức cao nhất của mục tiêu đề ra trong năm nay (mục tiêu tăng trưởng được Hội đồng Quốc gia giao năm 2019 là 6,6-6,8%).
ພໍ່ຂອງຂ້ອຍໄດ້ປະໄວ້ມໍລະດົກຂອງການຂຽນຂອງລາວຜ່ານຈົດ ໝາຍ ແລະປື້ມບັນທຶກ.	Cha tôi đã để lại cho tôi một di sản quý giá thông qua những lá thư và nhật ký viết tay của ông.
ທະນາຄານ UOB ຄາດຄະເນ ຫວຽດນາມ ດຶງດູດທຶນ FDI ໄດ້ 20 ຕື້ USD ໃນປີນີ້	UOB ước tính Việt Nam sẽ thu hút 20 tỷ USD vốn FDI trong năm nay.
"ກ່າວຄຳເຫັນທີ່ພິທີຊັກທຸງ ອາຊຽນ ປີ 2018, ທ່ານ ຫງວຽນມິງແອງ ອຸປະທູດຊົ່ວຄາວສະຖານທູດ ຫວຽດນາມ ປະຈຳ ຈີເລ ເນັ້ນໜັກວ່າ ການປະກອບສ່ວນຂອງ ອາຊຽນ ສຳລັບສັນຕິພາບ ແລະ ສະຖຽນລະພາບຂອງພາກພື້ນ ອາຊີຕາເວັນອອກສ່ຽງໃຕ້ໃນຕະຫລອດ 51 ປີຜ່ານມາ, ໃນນັ້ນ ສິ່ງທີ່ເປັນໜ້າສົນໃຈ ນັ້ນແມ່ນການສ້າງຕັ້ງປະຊາຄົມອາຊຽນ."	Tại lễ chào cờ ASEAN năm 2018,  Đại sứ  Nguyễn Minh Anh nhấn mạnh những đóng góp của ASEAN đối với hòa bình, ổn định ở Đông Nam Á trong  51 năm qua, đặc biệt là việc thành lập Cộng đồng ASEAN.
"ຮ່າໂນ້ຍ ເພີ່ມທະວີການຮ່ວມມືກັບ ຝລັ່ງໃນຂົງເຂດພັດທະນາຄົມມະນາຄົມ, ຕົວເມືອງ"	Hà Nội đang xúc tiến hợp tác với Pháp trong lĩnh vực giao thông và phát triển đô thị.
ຄົ້ນຄວ້າຮ່າງກົດໝາຍບາງສະບັບທີ່ສົ່ງຜົນກະທົບເຖິງເຂດຊົນເຜົ່າສ່ວນໜ້ອຍ	Đánh giá một số dự án pháp lý đã có tác động đáng kể đến vùng đồng bào dân tộc thiểu số.
ຄົນສ່ວນໃຫຍ່ຄາດເດົາວ່າຂໍ້ຄວາມທີ່ໂທຫາເພື່ອປະຢັດເງິນຈະເຮັດວຽກໄດ້ດີທີ່ສຸດ.	Hầu hết mọi người nghĩ rằng một thông điệp gây quỹ sẽ hiệu quả nhất.
ເຄື່ອງມືເຫລົ່ານັ້ນແມ່ນເຄື່ອງມືທີ່ພວກເຂົາຮຽນພຽງແຕ່ປະຕິບັດງານພາຍໃນນາທີ.	Đó là một công cụ họ chỉ cần vài phút để học cách sử dụng.
"ປັດຈຸບັນ, ການລົງທຶນຂອງບັນດາວິສາຫະກິດ ຫວຽດນາມ ຢູ່ ລາວ ຢືນອັນດັບທີ 3 ໃນຈຳນວນບັນດາປະເທດມີໂຄງການລົງທຶນຢູ່ ລາວ."	Hiện nay,  đầu tư của các doanh nghiệp Việt Nam vào Lào đứng thứ ba trong số các nước có dự án đầu tư tại đây.
"ຫວຽດນາມ, ລາວ ແລະ ກຳປູເຈຍ ແກ້ໄຂບັນດາຮົ້ວກີດຂວາງເພື່ອຊຸກຍູ້ການແລກປ່ຽນການຄ້າເຂດຊາຍແດນ"	Việt Nam, Lào và Campuchia đang nỗ lực dỡ bỏ các rào cản để thúc đẩy thương mại biên giới.
ຄວາມສາມາດບົ່ມຊ້ອນການພັດທະນາຂອງເສດຖະກິດ ຫວຽດນາມ ຈະນຳມາເຊິ່ງຫຼາຍກາລະໂອກາດໃຫ້ແກ່ວິສາຫະກິດ ຍີ່ປຸ່ນ	Tiềm năng phát triển kinh tế của Việt Nam sẽ tạo cơ hội cho các doanh nghiệp Nhật Bản.
"ກອງປະຊຸມແມ່ນໜຶ່ງໃນບັນດາຂໍ້ລິເລີ່ມຂອງ ຫວຽດນາມ ເພື່ອແນໃສ່ຍູ້ແຮງການສົມທົບກັນໃນພາກພື້ນ ກ່ຽວກັບນະໂຍບາຍ, ການລົງທຶນ, ການພັດທະນາເຕັກໂນໂລຢີ, ການບໍລິການ ແລະ ເຄືອຂ່າຍ 5G"	Hội nghị là một trong những sáng kiến của Việt Nam nhằm tăng cường hợp tác khu vực về chính sách, đầu tư, phát triển công nghệ, dịch vụ và triển khai 5G.
ແລະເຮັດແບບດຽວກັນກັບຖະແຫຼງການສາກົນກ່ຽວກັບສິດທິມະນຸດແລະການດັດແກ້ທັງ ໝົດ ທີ່ໄດ້ສະ ເໜີ ແລະຖະແຫຼງການສາກົນກ່ຽວກັບສິດທິມະນຸດແລະຂໍ້ຕົກລົງວ່າດ້ວຍສິດທິມະນຸດແລະສິດທິພື້ນຖານຂອງສະຫະພາບເອີຣົບແລະການປາກເວົ້າເສລີບໍ?	Và làm điều tương tự với Tuyên ngôn Nhân quyền và các Đề xuất Bổ sung,  Tuyên ngôn Quốc tế Nhân quyền, Hiệp định Liên minh Châu Âu về Nhân quyền và các Quyền Cơ bản, và Quyền Tự do Ngôn luận?
ແລະຂ້ອຍກໍ່ບໍ່ໄດ້ອອກຈາກເຮືອນປະມານສາມມື້.	Sự thật là, tôi đã không rời khỏi nhà trong khoảng ba ngày.
"ປະຈຸບັນພວມຖືກແຍກຕົວ ແລະ ໄດ້ຮັບການປິ່ນປົວຢູ່ໂຮງໝໍພະຍາດເຂດຮ້ອນ ນະຄອນໂຮ່ຈີມິນ, ການປິ່ນປົວອົກຊີເຈນ, ຢາຕ້ານເຊື້ອແລະຢາຕ້ານເຊື້ອ."	Hiện bệnh nhân đang được cách ly, điều trị tại một bệnh viện điều trị bệnh nhiệt đới tại TPHCM  bằng oxy và đang được điều trị bằng thuốc điều trị cũng như thuốc kháng virus.
ການກະ ທຳ ນ້ອຍໆສາມາດສ້າງຄວາມປ່ຽນແປງທີ່ໃຫຍ່ຫຼວງ.	Những hành động nhỏ có thể tạo ra sự khác biệt lớn.
"ລາຍລະອຽດ,ຕາມໜັງສືພິມດັ່ງກ່າວແລ້ວ, ໃນວິວັດການເຈລະຈາສັນຍາກັບຫົວໜ້າຄູຝຶກທິມບານເຕະແຫ່ງຊາດຫວຽດນາມ Park Hang Seo, VFF ໄດ້ຍົກອອກຄໍາຮຽກຮ້ອງສໍາລັບຄູຝຶກຄົນດັ່ງກ່າວວ່າ ຕ້ອງນໍາທິມບານເຕະແຫ່ງຊາດຫວຽດນາມ ລອດເຂົ້ານັດແຂ່ງຂັນຊີງຊະນະເລີດ Asian Cup 2023."	Cụ thể, tờ báo này cho biết, trong quá trình đàm phán hợp đồng với HLV trưởng ĐTQG Việt Nam Park Hang Seo, VFF đã đề nghị ông giúp ĐTQG Việt Nam giành vé dự Asian Cup  2023.
"ສູ້ຊົນຮອດທ້າຍປີ 2025, ໃຫ້ມີຢ່າງໜ້ອຍ 2 – 3 ທະນາຄານການຄ້າ ນອນຢູ່ໃນ Top 100 ທະນາຄານໃຫຍ່ທີ່ສຸດ (ກ່ຽວກັບລວມຍອດຊັບສິນ) ໃນພາກພື້ນ ອາຊີ ແລະ 3 – 5 ທະນາຄານຕິດປະກາດໃບຫຸ້ນໃນຕະຫຼາດຫຼັກຊັບຕ່າງປະເທດ."	Đến cuối năm  2025, sẽ có ít nhất 2-3  trong số 100  ngân hàng lớn nhất (tính theo tổng tài sản) ở châu Á và 3-5  ngân hàng niêm yết trên thị trường chứng khoán nước ngoài.
"“ກອງປະຊຸມ ASOSAI ແມ່ນກາລະໂອກາດສຳລັບປະເທດເພື່ອໂຄສະນາພາບພົດ ປະເທດຊາດ, ປະຊາຊົນ, ພື້ນຖານວັດທະນະທຳ ແລະ ຄວາມສາມາດບົ່ມຊ້ອນແຫ່ງການຮ່ວມມືຂອງ ຫວຽດນາມ."	Hội nghị  ASOSAI là cơ hội để Việt Nam quảng bá hình ảnh, con người,  văn hóa và tiềm năng hợp tác của đất nước.
Sputnik ກາຍເປັນ ໜຶ່ງ ໃນສາມຄວາມຕື່ນຕົກໃຈທີ່ໃຫຍ່ຫຼວງຕໍ່ສະຫະລັດ - ນັກປະຫວັດສາດອ້າງວ່າມັນກົງກັບ Pearl Harbor ໃນວັນທີ 9 ພະຈິກ.	Sputnik đã trở thành một trong ba cú sốc đối với Hoa Kỳ, mà các nhà sử học coi là tương đương với  Trân Châu Cảng và ngày  11 tháng 9.
"ເຮົາຈະເຈາະເຂົ້າໄປໃນຄວາມຮູ້ສຶກທີ່ສະທ້ອນໄດ້ແນວໃດ, ເຮົາຈະເຈາະຈົງໃສ່ຄົນອື່ນໄດ້ແນວໃດ?"	Làm thế nào để chúng ta kết nối với những cảm xúc đam mê đó và hiểu người khác?
"ປະກາດໝາກຜົນຂອງກອງປະຊຸມເຈົ້າໜ້າທີ່ອາວຸໂສ ອາຊຽນ ຄັ້ງທີ 38 ກ່ຽວກັບການປ້ອງກັນ, ຕ້ານຢາເສບຕິດ"	Khai mạc Hội nghị quan chức cao cấp ASEAN lần  thứ 38  về phòng chống tội phạm ma túy.
ລາວເວົ້າສິ່ງ ໜຶ່ງ ທີ່ຂ້າພະເຈົ້າໄດ້ລົງເທິງຝາຫ້ອງສະຕູດິໂອຂອງຂ້າພະເຈົ້າ.	Anh ta nói điều gì đó tôi đã đặt trên tường trong căn hộ của tôi.
ນາຍົກລັດຖະມົນຕີຫງວຽນຊວນຟຸກເປັນປະທານກອງປະຊຸມປ່ຽນແປງໃໝ່ລັດວິສາຫະກິດ	Thủ tướng Nguyễn Xuân Phúc chủ trì cuộc họp về cải cách doanh nghiệp nhà nước.
"ພາບປະກອບ ພິທີໄຂງານມະໂຫລານຟິມຮູບເງົາເອກະສານ ເອີລົບ - ຫວຽດນາມ ຄັ້ງທີ 9 ໄດ້ຈັດຕັ້ງໃນຕອນຄ່ຳວັນທີ 8 ມິຖຸນາ, ຢູ່ຮ່າໂນ້ຍ."	Liên hoan phim tài liệu châu Âu - Việt  Nam lần thứ 9 sẽ được tổ chức đồng thời tại Hà Nội và Thành phố Hồ Chí Minh.
"ສິ່ງ ໜຶ່ງ ທີ່ ສຳ ຄັນສຸດທ້າຍແມ່ນທາດໂປຼຕີນ, ເຊິ່ງໄດ້ມາຈາກພຶຊະຄະນິດແລະເຊື້ອແບັກທີເຣຍແລະເຊື້ອເຫັດ, ແລະພືດທັງ ໝົດ ຂອງຊີວິດ."	Chìa khóa cuối cùng là protein được chiết xuất từ eo, vi khuẩn, nấm và toàn bộ hệ sinh thái.
"ບັ້ນເຄື່ອນໄຫວດັ່ງກ່າວໂດຍສະຖານທູດ ການາດາ ປະຈຳຫວຽດນາມ ປຸກລະດົມ, ແນໃສ່ຍົກສູງຄວາມຮັບຮູ້ກ່ຽວກັບບັນດາການກະທົບທີ່ບໍ່ດີຈາກສິ່ງເສດເຫຼືອຢາງ plastics, ພ້ອມທັງຂົນຂວາຍໃຫ້ມີການປ່ຽນແປງຢູ່ລະດັບການກະທຳ, ລະບອບ ແລະ ນະໂຍບາຍ, ຈາກນັ້ນຊ່ວຍຫຼຸດຜ່ອນສິ່ງເສດເຫຼືອຢາງ plastics ຢູ່ຫວຽດນາມ."	Dự án do Đại sứ quán Canada tại Việt Nam khởi động nhằm nâng cao nhận thức về tác động tiêu cực của ô nhiễm  nhựa  và kêu gọi thay đổi hành vi, thể chế, chính sách giảm thiểu rác thải  nhựa  tại Việt Nam.
"ຜ່ານງານວາງສະແດງຈະເພີ່ມທະວີຄວາມເຂົ້າອົກເຂົ້າໃຈ, ການສະໜິດຕິດພັນລະຫວ່າງບັນດາປະເທດ, ປະກອບສ່ວນສ້າງປະຊາຄົມອາຊຽນ ສາມັກຄີ, ຂະຫຍັນຂັນເຄື່ອນ, ພັດທະນາ."	Sự kiện sẽ thúc đẩy sự hiểu biết và gắn kết giữa các quốc gia, góp phần xây dựng một cộng đồng  ASEAN  đoàn kết, năng động và phát triển.
"ແລະ Mike, ຄົນທີ່ຂ້ອຍໄດ້ພົບໃນ Galapagos, ໃນການເດີນທາງທີ່ໄດ້ຮັບໄຊຊະນະຢູ່ TED ແມ່ນ ກຳ ລັງບັນທຶກໃນໂລກເສມືນ, ບ່ອນທີ່ລາວ ກຳ ລັງບັນທຶກການເດີນທາງຂອງລາວດ້ວຍໂຣກມະເລັງ."	Mike, người mà tôi đã gặp ở Galapagos khi anh ấy giành được TED, đang để lại một ghi chú trong thế giới  ảo, nơi anh ấy chia sẻ hành trình của mình với căn bệnh ung thư.
ມີຮູບເງົາ ທຳ ມະດາ 104 ເລື່ອງເຂົ້າຮ່ວມອັດງານມະໂຫລານຮູບເງົາ ຫວຽດນາມ ຄັ້ງທີ 21	Liên hoan phim Việt Nam  lần thứ 21  sẽ có 104  phim  truyện.
"ບັນດາບັນຫາທະເລ, ໝູ່ເກາະ ໃນນັ້ນມີທະເລຕາເວັນອອກ, ແມ່ນໜຶ່ງໃນບັນດາເນື້ອໃນຕົ້ນຕໍຂອງກອງປະຊຸມພັດທະນາກົດໝາຍສາກົນຢູ່ອາຊີ ພວມດຳເນີນຢູ່ອິນໂດເນເຊຍ ."	Các vấn đề liên quan đến biển và đảo, bao gồm Biển Đông, là một trong những chủ đề chính của hội nghị phát triển luật pháp quốc tế đang diễn ra tại Indonesia.
"ແລະໃນ 50 ເມືອງອື່ນໆໃນທົ່ວໂລກ, ປະຊາຊົນມີສ່ວນຮ່ວມ."	Vẫn còn người ở 50 thành phố trên khắp thế giới.
ແມ່ຍິງຖືກຂົ່ມຂືນແລະມີຮູບຫຼາຍຊຸດເປັນພື້ນຖານໃນການລະບຸຜູ້ກະ ທຳ ຜິດທີ່ ທຳ ຮ້າຍນາງ.	Một phụ nữ đã bị tấn công tình dục, và nhiều bức ảnh đã được sử dụng để xác định nghi phạm.
"ພວກເຂົາຕ້ອງໄດ້ເລີ່ມຕົ້ນການສົນທະນາກັບກັນແລະກັນ, ແລະຕ້ອງມີແນວຄວາມຄິດເລັກໆນ້ອຍໆ, ຖ້າວ່າມັນບໍ່ແມ່ນແນວນັ້ນໃນເວລາທີ່ຮ້ອງຂໍມັນ - ແຕ່ບາງທີມັນກໍ່ແມ່ນ."	Họ cần bắt đầu một cuộc trò chuyện và tinh chỉnh suy nghĩ của mình,  nếu một yêu cầu như vậy không quá khó - có lẽ là như vậy.
ເສດຖະກິດ ຫວຽດນາມ ນຳເອົາກາລະໂອກາດໃຫຍ່ມາໃຫ້ບັນດານັກລົງທຶນ	Nền kinh tế Việt Nam đang mở ra nhiều cơ hội hấp dẫn cho các nhà đầu tư.
"ຂ້ອຍຄິດວ່າຄວາມສະຫງົບສຸກເລີ່ມຕົ້ນດ້ວຍເຮືອນແລະເຮືອນ, ຢູ່ໃນເຮື່ອນຫຼັງດຽວກັນ."	Tôi tin rằng hòa bình bắt đầu với gia đình và việc chia sẻ nhà cửa.
ຫວຽດນາມ ໂຄສະນາສິນຄ້າທີ່ງານຕະຫຼາດນັດທາດເຄມີຢູ່ ອິນເດຍ	Việt Nam đang giới thiệu sản phẩm của mình tại một triển lãm hóa chất được tổ chức tại Ấn Độ.
ມະຕິກອງປະຊຸມລັດຖະບານກັບທ້ອງຖິ່ນຕ່າງໆ ແລະ ກອງປະຊຸມສາມັນປະຈຳເດືອນທັນວາ 2017.	Các cuộc họp giữa các quận và các cuộc họp chính phủ hàng năm đã được tổ chức vào tháng 12 năm 2017.
ພິທີອອກເດີນທາງໄປເຂົ້າຮ່ວມງານມະຫາກຳກິລາ ຄົນພິການ ອາຊີຕາເວັນອອກສ່ຽງໃຕ້ 2017 – Para Games 9 ໄດ້ຈັດຕັ້ງໃນຕອນເຊົ້າວັນທີ 11 ກັນຍາ ຢູ່ນະຄອນ ໂຮ່ຈີມິນ.	Lễ xuất phát của đoàn Việt Nam tham dự Đại hội Thể thao người khuyết tật Đông Nam Á - Thể thao 9  2017 được tổ chức vào sáng ngày 11/9 tại thủ đô Viêng Chăn.
"ໂດຍພື້ນຖານແລ້ວເມື່ອຂ້ອຍເຊື່ອມຕໍ່ກັບຄວາມສາມາດຂອງຂ້ອຍໃນການເບິ່ງເຫັນຕົວເອງກັບຄົນຮັກຂອງຂ້ອຍ, ໃນເວລາທີ່ຈິນຕະນາການຂອງຂ້ອຍກັບຄືນສູ່ພາບແລະເມື່ອຂ້ອຍສາມາດຍົກເລີກການຂາດແລະຄວາມປາຖະ ໜາ ຂອງຂ້ອຍ ສຳ ລັບສິ່ງນັ້ນແມ່ນສ່ວນ ໜຶ່ງ ທີ່ ສຳ ຄັນຂອງຄວາມປາຖະ ໜາ."	Về cơ bản, khi tôi kết nối với khả năng hình dung bản thân với người yêu, khi trí tưởng tượng của tôi quay trở lại hình ảnh và khi tôi có thể thoát khỏi sự thiếu thốn và ham muốn đó là một phần quan trọng của ham muốn.
"ບັນດາສິນຄ້າເຄື່ອງປ່າຂອງດົ່ງທີ່ສົ່ງອອກຕົ້ນຕໍ ກໍສືບຕໍ່ເພີ່ມຂຶ້ນສູງ; ໃນນັ້ນ ມູນຄ່າຈາກໄມ້ ແລະ ເຄື່ອງເຟີນີເຈີ ບັນລຸ 1,53 ຕື້ USD ( ເພີ່ມຂຶ້ນ 10%)…."	Giá trị xuất khẩu lâm sản chủ lực tiếp tục tăng, trong đó giá trị gỗ và sản phẩm gỗ đạt 1,53 tỷ USD, tăng  10%.
"ໃນຊ່ວງເວລານີ້ມັນເປັນຄວາມລຶກລັບ ສຳ ລັບຂ້ອຍເພາະວ່າພວກເຮົາເຫັນພຽງແຕ່ພື້ນຜິວ, ພື້ນຜິວຍັງຄົງພັບ, ຂະຫຍາຍຕົວພາຍໃນເສົາ, ເຊິ່ງເປັນການຄົ້ນພົບທີ່ ໜ້າ ປະຫລາດໃຈ."	Vào thời điểm đó, đó là một bí ẩn đối với tôi vì chúng tôi chỉ có thể nhìn thấy da; Da vẫn chất đống bên trong, mọc ở cực, đó là một khám phá đáng kinh ngạc.
ພືດຍັງມີເຄື່ອງ ໝາຍ ຫຼາຍຊະນິດທີ່ຄ້າຍຄືກັບແມງໄມ້.	Thực vật cũng có nhiều con đường mòn, giống như côn trùng.
"ກ່ອນ ໜ້າ ນັ້ນ, ແມ່ນແຕ່ກ່ອນ Julia, ມື້ນັ້ນບໍ່ມີແນວຄິດກ່ຽວກັບອາຫານ."	Trước đó, ngay cả trước thời của Julia, không có triết lý ẩm thực trong những ngày đó.
ສະນັ້ນພວກເຂົາຈະສາມາດເຮັດຫຍັງກັບຮູບພາບຕ່າງໆທີ່ພວກເຂົາຕ້ອງການຖ່າຍທອດເພື່ອຊັກຊວນຄົນອື່ນຖ້າພວກເຂົາມີສື່ທີ່ທັນສະ ໄໝ ທີ່ພວກເຂົາມີໃນປະຈຸບັນ?	Vậy làm thế nào họ có thể sử dụng những thước phim mà họ muốn truyền tải để thuyết phục người khác nếu họ sở hữu phương tiện truyền thông hiện đại như ngày nay?
"ດ່ານັ້ງ ຈະສືບຕໍ່ດຶງດູດ, ເຊື້ອເຊີນບັນດາວິສາຫະກິດໃຫຍ່ມາ ລົງທຶນເພື່ອໃຫ້ນະຄອນພັດທະນາ”."	Đà Nẵng sẽ tiếp tục thu hút, thu hút các doanh nghiệp lớn để thúc đẩy phát triển thành phố.
"ຂ້ອຍໄດ້ລົງວີດີໂອຫຼາຍໆຊຸດໃນ blog ຂອງຂ້ອຍບໍ່ດົນ, ແລະມັນໄດ້ຮັບການເບິ່ງ 6,000 ຄັ້ງໃນສອງອາທິດ."	Tôi đã đăng một loạt các video trên  blog  của mình gần đây và chúng đã nhận được 6000  lượt xem chỉ trong hai tuần.
ນັ້ນແມ່ນບ່ອນທີ່ທ່ານສະແດງຄວາມປາຖະ ໜາ ຂອງເດັກນ້ອຍບໍ?	Đó có phải là nơi bạn thể hiện mong muốn của trẻ em?
ພວກເຂົາອາດຈະມີກິດຈະ ກຳ ເປັນກຸ່ມໃນຕອນກາງຄືນວັນພະຫັດທີ່ຮ້ານກິນດື່ມ	Họ đã có thể tổ chức các cuộc họp nhóm vào tối thứ Ba tại một số quán bar.
"ຖ້າທ່ານເຮັດໃນສິ່ງທີ່ພວກເຮົາເວົ້າ, ທ່ານໄດ້ຍິນວິທີທີ່ປະຊາຊົນຕິດຕໍ່ສື່ສານແທ້ໆໃນບັນດາຊົນເຜົ່າທີ່ທ່ານເຂົ້າຮ່ວມ."	Nếu bạn làm theo đề xuất của chúng tôi, bạn sẽ thấy mọi người thực sự giao tiếp như thế nào trong bộ lạc mà bạn là một phần.
"ແລະບົດຮຽນທີສອງ, ການປ່ຽນແປງຍຸດທະສາດຂັ້ນພື້ນຖານ."	Và bài học thứ hai là một sự thay đổi cơ bản trong chiến lược.
